interaction_id,handled_by,response_time_s,resolved
INT2025_05_0001,AI,5.7,TRUE
INT2025_05_0002,AI,33.9,TRUE
INT2025_05_0003,AI,8.1,TRUE
INT2025_05_0004,Human,330.6,TRUE
INT2025_05_0005,AI,6.5,TRUE
INT2025_05_0006,Ai,-1,FALSE
INT2025_05_0007,Human,192.4,TRUE
INT2025_05_0008,Human,455,TRUE
INT2025_05_0009,AI,,FALSE
INT2025_05_0010,Human,598,TRUE
INT2025_05_0011,AI,18,TRUE
INT2025_05_0012,AI,26,TRUE
INT2025_05_0014,Human,340,TRUE
INT2025_05_0015,AI,14,TRUE
INT2025_05_0017,AI,42,TRUE
INT2025_05_0018,Human,390,TRUE
INT2025_05_0019,AI,16,TRUE
INT2025_05_0020,Human,480,FALSE
INT2025_05_0022,AI,21,TRUE
INT2025_05_0023,AI,35,TRUE
INT2025_05_0024,Human,420,TRUE
INT2025_05_0026,AI,15,TRUE
INT2025_05_0027,Human,330,TRUE
INT2025_05_0028,AI,11,TRUE
INT2025_05_0030,AI,50,TRUE
INT2025_05_0031,Human,400,TRUE
INT2025_05_0032,AI,18,TRUE
INT2025_05_0034,Human,520,FALSE
INT2025_05_0035,AI,23,TRUE
INT2025_05_0036,AI,38,TRUE
INT2025_05_0038,Human,430,TRUE
INT2025_05_0039,AI,17,TRUE
INT2025_05_0041,Human,300,TRUE
INT2025_05_0042,AI,13,TRUE
INT2025_05_0043,AI,55,TRUE
INT2025_05_0045,Human,480,FALSE
INT2025_05_0046,AI,19,TRUE
INT2025_05_0047,Human,360,TRUE
INT2025_05_0049,AI,24,TRUE
INT2025_05_0050,AI,40,TRUE
INT2025_05_0051,Human,450,TRUE
INT2025_05_0053,AI,16,TRUE
INT2025_05_0054,Human,320,TRUE
INT2025_05_0055,AI,12,TRUE
INT2025_05_0057,AI,58,TRUE
INT2025_05_0058,Human,500,FALSE
INT2025_05_0059,AI,21,TRUE
INT2025_05_0061,Human,380,TRUE
INT2025_05_0062,AI,26,TRUE
INT2025_05_0063,AI,43,TRUE
INT2025_05_0065,Human,420,TRUE
INT2025_05_0066,AI,18,TRUE
INT2025_05_0068,Human,300,TRUE
INT2025_05_0069,AI,14,TRUE
INT2025_05_0070,AI,60,TRUE
INT2025_05_0072,Human,520,FALSE
INT2025_05_0073,AI,22,TRUE
INT2025_05_0074,Human,390,TRUE
INT2025_05_0076,AI,27,TRUE
INT2025_05_0077,AI,45,TRUE
INT2025_05_0078,Human,430,TRUE
INT2025_05_0080,AI,19,TRUE
INT2025_05_0081,Human,330,TRUE
INT2025_05_0082,AI,15,TRUE
INT2025_05_0084,AI,62,TRUE
INT2025_05_0085,Human,480,FALSE
INT2025_05_0086,AI,24,TRUE
INT2025_05_0088,Human,360,TRUE
INT2025_05_0089,AI,29,TRUE
INT2025_05_0090,AI,47,TRUE
INT2025_05_0092,Human,450,TRUE
INT2025_05_0093,AI,20,TRUE
INT2025_05_0095,Human,300,TRUE
INT2025_05_0096,AI,16,TRUE
INT2025_05_0097,AI,64,TRUE
INT2025_05_0099,Human,520,FALSE
