interaction_id,hotel_id,timestamp,channel,language,request_type,complexity,hotel_name,city,country,hotel_type,rooms,hotel_size_category,handled_by,response_time_s,response_speed,hour_of_day,day_of_week_number,day_of_week,month_number,month_name,quarter,time_period,resolved
INT2025_01_0001,hotel_01,03/01/2025 08:12,website_chat,NO,info,simple,The Well,Sandvika,Norway,spa,231,Large,AI,6.2,Fast,8,5,Friday,1,January,1,Morning,TRUE
INT2025_01_0002,hotel_01,03/01/2025 08:25,email,EN,booking,complex,The Well,Sandvika,Norway,spa,231,Large,Human,185.4,Medium,8,5,Friday,1,January,1,Morning,TRUE
INT2025_01_0003,hotel_03,04/01/2025 09:02,facebook,NO,service_request,simple,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,AI,9.8,Fast,9,6,Saturday,1,January,1,Morning,TRUE
INT2025_01_0004,hotel_07,04/01/2025 10:45,instagram,EN,complaint,complex,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,Human,412,Slow,10,6,Saturday,1,January,1,Morning,TRUE
INT2025_01_0005,hotel_02,05/01/2025 11:10,email,NO,check_in,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,AI,7.1,Fast,11,0,Sunday,1,January,1,Morning,TRUE
INT2025_01_0015,hotel_09,11/01/2025 12:05,website_chat,NO,check_in,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,Human,360,Slow,12,6,Saturday,1,January,1,Afternoon,FALSE
INT2025_01_0010,hotel_06,08/01/2025 17:55,email,NO,technical_issue,complex,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,Human,720,Slow,17,3,Wednesday,1,January,1,Afternoon,TRUE
INT2025_01_0011,hotel_03,09/01/2025 08:15,website_chat,NO,info,simple,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,AI,18,Fast,8,4,Thursday,1,January,1,Morning,TRUE
INT2025_01_0012,hotel_12,09/01/2025 09:30,email,EN,booking,complex,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,AI,22,Fast,9,4,Thursday,1,January,1,Morning,TRUE
INT2025_01_0013,hotel_08,10/01/2025 10:45,facebook,NO,complaint,medium,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,Human,240,Medium,10,5,Friday,1,January,1,Morning,TRUE
INT2025_01_0014,hotel_05,10/01/2025 11:20,instagram,EN,service_request,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,AI,15,Fast,11,5,Friday,1,January,1,Morning,TRUE
INT2025_01_0016,hotel_07,11/01/2025 13:40,email,NO,info,complex,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,AI,12,Fast,13,6,Saturday,1,January,1,Afternoon,TRUE
INT2025_01_0031,hotel_09,19/01/2025 08:30,instagram,EN,complaint,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,16,Fast,8,0,Sunday,1,January,1,Morning,TRUE
INT2025_01_0019,hotel_06,13/01/2025 16:55,email,NO,booking,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,AI,9,Fast,16,1,Monday,1,January,1,Afternoon,TRUE
INT2025_01_0020,hotel_11,13/01/2025 17:30,website_chat,EN,info,simple,Ålesun View Hotel,Ålesun,Norway,city,100,Large,Human,300,Medium,17,1,Monday,1,January,1,Afternoon,TRUE
INT2025_01_0022,hotel_09,14/01/2025 09:15,email,EN,complaint,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,35,Fast,9,2,Tuesday,1,January,1,Morning,TRUE
INT2025_01_0023,hotel_03,15/01/2025 10:30,facebook,NO,check_in,medium,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,Human,420,Slow,10,3,Wednesday,1,January,1,Morning,FALSE
INT2025_01_0045,hotel_09,26/01/2025 12:30,website_chat,EN,technical_issue,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,Human,290,Medium,12,0,Sunday,1,January,1,Afternoon,TRUE
INT2025_01_0027,hotel_12,17/01/2025 14:50,instagram,EN,spa_reservation,medium,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,AI,27,Fast,14,5,Friday,1,January,1,Afternoon,TRUE
INT2025_01_0028,hotel_08,17/01/2025 15:25,facebook,NO,technical_issue,complex,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,Human,390,Slow,15,5,Friday,1,January,1,Afternoon,TRUE
INT2025_01_0029,hotel_02,18/01/2025 16:10,email,EN,info,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,AI,11,Fast,16,6,Saturday,1,January,1,Afternoon,TRUE
INT2025_01_0030,hotel_06,18/01/2025 17:00,website_chat,NO,booking,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,Human,600,Slow,17,6,Saturday,1,January,1,Afternoon,FALSE
INT2025_01_0032,hotel_10,19/01/2025 09:45,email,NO,check_in,simple,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,AI,,,9,0,Sunday,1,January,1,Morning,NULL
INT2025_01_0060,hotel_09,06/01/2025 17:00,website_chat,NO,booking,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,Human,480,Slow,17,1,Monday,1,January,1,Afternoon,TRUE
INT2025_01_0035,hotel_07,21/01/2025 12:45,email,NO,spa_reservation,complex,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,Human,280,Medium,12,2,Tuesday,1,January,1,Afternoon,TRUE
INT2025_01_0037,hotel_11,22/01/2025 14:35,instagram,NO,booking,medium,Ålesun View Hotel,Ålesun,Norway,city,100,Large,AI,55,Fast,14,3,Wednesday,1,January,1,Afternoon,TRUE
