interaction_id,hotel_id,channel,language,request_type,complexity,hotel_name,city,country,hotel_type,rooms,hotel_size_category,timestamp,day_of_week,hour_of_day,day_of_week_number,time_period,month_number,month_name,quarter
INT2025_01_0001,hotel_01,website_chat,NO,info,simple,The Well,Sandvika,Norway,spa,231,Large,03/01/2025 08:12,Friday,8,5,Morning,1,January,1
INT2025_01_0002,hotel_01,email,EN,booking,complex,The Well,Sandvika,Norway,spa,231,Large,03/01/2025 08:25,Friday,8,5,Morning,1,January,1
INT2025_01_0003,hotel_03,facebook,NO,service_request,simple,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,04/01/2025 09:02,Saturday,9,6,Morning,1,January,1
INT2025_01_0004,hotel_07,instagram,EN,complaint,complex,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,04/01/2025 10:45,Saturday,10,6,Morning,1,January,1
INT2025_01_0005,hotel_02,email,NO,check_in,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,05/01/2025 11:10,Sunday,11,0,Morning,1,January,1
INT2025_01_0015,hotel_09,website_chat,NO,check_in,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,11/01/2025 12:05,Saturday,12,6,Afternoon,1,January,1
INT2025_01_0010,hotel_06,email,NO,technical_issue,complex,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,08/01/2025 17:55,Wednesday,17,3,Afternoon,1,January,1
INT2025_01_0011,hotel_03,website_chat,NO,info,simple,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,09/01/2025 08:15,Thursday,8,4,Morning,1,January,1
INT2025_01_0012,hotel_12,email,EN,booking,complex,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,09/01/2025 09:30,Thursday,9,4,Morning,1,January,1
INT2025_01_0013,hotel_08,facebook,NO,complaint,medium,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,10/01/2025 10:45,Friday,10,5,Morning,1,January,1
INT2025_01_0014,hotel_05,instagram,EN,service_request,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,10/01/2025 11:20,Friday,11,5,Morning,1,January,1
INT2025_01_0016,hotel_07,email,NO,info,complex,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,11/01/2025 13:40,Saturday,13,6,Afternoon,1,January,1
INT2025_01_0031,hotel_09,instagram,EN,complaint,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,19/01/2025 08:30,Sunday,8,0,Morning,1,January,1
INT2025_01_0019,hotel_06,email,NO,booking,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,13/01/2025 16:55,Monday,16,1,Afternoon,1,January,1
INT2025_01_0020,hotel_11,website_chat,EN,info,simple,Ålesund View Hotel,Ålesund,Norway,city,100,Large,13/01/2025 17:30,Monday,17,1,Afternoon,1,January,1
INT2025_01_0022,hotel_09,email,EN,complaint,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,14/01/2025 09:15,Tuesday,9,2,Morning,1,January,1
INT2025_01_0023,hotel_03,facebook,NO,check_in,medium,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,15/01/2025 10:30,Wednesday,10,3,Morning,1,January,1
INT2025_01_0045,hotel_09,website_chat,EN,technical_issue,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,26/01/2025 12:30,Sunday,12,0,Afternoon,1,January,1
INT2025_01_0027,hotel_12,instagram,EN,spa_reservation,medium,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,17/01/2025 14:50,Friday,14,5,Afternoon,1,January,1
INT2025_01_0028,hotel_08,facebook,NO,technical_issue,complex,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,17/01/2025 15:25,Friday,15,5,Afternoon,1,January,1
INT2025_01_0029,hotel_02,email,EN,info,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,18/01/2025 16:10,Saturday,16,6,Afternoon,1,January,1
INT2025_01_0030,hotel_06,website_chat,NO,booking,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,18/01/2025 17:00,Saturday,17,6,Afternoon,1,January,1
INT2025_01_0032,hotel_10,email,NO,check_in,simple,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,19/01/2025 09:45,Sunday,9,0,Morning,1,January,1
INT2025_01_0060,hotel_09,website_chat,NO,booking,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,06/01/2025 17:00,Monday,17,1,Afternoon,1,January,1
INT2025_01_0035,hotel_07,email,NO,spa_reservation,complex,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,21/01/2025 12:45,Tuesday,12,2,Afternoon,1,January,1
INT2025_01_0037,hotel_11,instagram,NO,booking,medium,Ålesund View Hotel,Ålesund,Norway,city,100,Large,22/01/2025 14:35,Wednesday,14,3,Afternoon,1,January,1
INT2025_01_0038,hotel_03,facebook,EN,service_request,complex,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,22/01/2025 15:50,Wednesday,15,3,Afternoon,1,January,1
INT2025_01_0039,hotel_09,email,NO,info,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,23/01/2025 16:05,Thursday,16,4,Afternoon,1,January,1
INT2025_01_0040,hotel_06,website_chat,EN,check_in,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,23/01/2025 17:20,Thursday,17,4,Afternoon,1,January,1
INT2025_01_0041,hotel_02,instagram,NO,complaint,complex,Oslo City Hotel,Oslo,Norway,city,180,Large,24/01/2025 08:10,Friday,8,5,Morning,1,January,1
INT2025_01_0046,hotel_07,instagram,NO,info,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,26/01/2025 13:45,Sunday,13,0,Afternoon,1,January,1
INT2025_01_0047,hotel_05,email,EN,booking,complex,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,27/01/2025 14:20,Monday,14,1,Afternoon,1,January,1
INT2025_01_0048,hotel_10,facebook,NO,service_request,simple,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,27/01/2025 15:35,Monday,15,1,Afternoon,1,January,1
INT2025_01_0101,hotel_09,facebook,N/A,service_request,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,18/01/2025 08:15,Saturday,8,6,Morning,1,January,1
INT2025_01_0051,hotel_06,instagram,NO,info,simple,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,29/01/2025 08:05,Wednesday,8,3,Morning,1,January,1
