"hotel_id","interaction_id","timestamp","channel","request_type","orden","accion"
"hotel_02","INT2025_04_0005","2025-04-03 11:49:00","email","check_in","1","keep"
"hotel_02","INT2025_04_0005","2025-04-03 11:52:00","email","check_out","2","delete"
"hotel_02","INT2025_12_0195","2025-12-14 14:06:00","email","info","1","keep"
"hotel_02","INT2025_12_0195","2025-12-14 14:06:00","email","info","2","delete"
"hotel_03","INT2025_12_0196","2025-12-14 14:52:00","website_chat","info","1","keep"
"hotel_03","INT2025_12_0196","2025-12-14 14:52:00","website_chat","info","2","delete"
"hotel_04","INT2025_10_0007","2025-10-01 11:34:00","email","info","1","keep"
"hotel_04","INT2025_10_0007","2025-10-04 14:36:00","facebook","spa_reservation","2","delete"
"hotel_04","INT2025_11_0007","2025-11-01 11:32:00","email","info","1","keep"
"hotel_04","INT2025_11_0007","2025-11-04 14:29:00","facebook","spa_reservation","2","delete"
"hotel_04","INT2025_12_0197","2025-12-14 15:38:00","email","info","1","keep"
"hotel_04","INT2025_12_0197","2025-12-14 15:38:00","email","info","2","delete"
"hotel_05","INT2025_06_0003","2025-06-01 09:04:00","website_chat","service_request","1","keep"
"hotel_05","INT2025_06_0003","2025-06-02 09:40:00","website_chat","service_request","2","delete"
"hotel_05","INT2025_10_0002","2025-10-01 07:55:00","website_chat","booking","1","keep"
"hotel_05","INT2025_10_0002","2025-10-01 08:24:00","website_chat","booking","2","delete"
"hotel_05","INT2025_11_0002","2025-11-01 07:52:00","website_chat","booking","1","keep"
"hotel_05","INT2025_11_0002","2025-11-01 08:21:00","website_chat","booking","2","delete"
"hotel_08","INT2025_12_0007","2025-12-01 12:16:00","website_chat","booking","1","keep"
"hotel_08","INT2025_12_0007","2025-12-04 14:18:00","facebook","spa_reservation","2","delete"
"hotel_09","INT2025_04_0008","2025-04-05 14:08:00","website_chat","technical_issue","1","keep"
"hotel_09","INT2025_04_0008","2025-04-05 14:09:00","website_chat","technical_issue","2","delete"
"hotel_09","INT2025_07_0008","2025-07-05 14:17:00","website_chat","technical_issue","1","keep"
"hotel_09","INT2025_07_0008","2025-07-05 15:12:00","website_chat","technical_issue","2","delete"
"hotel_09","INT2025_08_0008","2025-08-05 14:24:00","website_chat","technical_issue","1","keep"
"hotel_09","INT2025_08_0008","2025-08-05 15:19:00","website_chat","technical_issue","2","delete"
"hotel_09","INT2025_09_0008","2025-09-05 14:36:00","website_chat","technical_issue","1","keep"
"hotel_09","INT2025_09_0008","2025-09-05 15:47:00","website_chat","technical_issue","2","delete"
"hotel_10","INT2025_04_0007","2025-04-04 13:27:00","facebook","spa_reservation","1","keep"
"hotel_10","INT2025_04_0007","2025-04-04 13:31:00","facebook","spa_reservation","2","delete"
