"interaction_id","timestamp","hotel_id","channel","language","request_type","complexity","hotel_name","city","country","hotel_type","rooms","handled_by","response_time_s","resolved"
"INT2025_01_0001","2025-01-03 08:12:00","hotel_01","website_chat","NO","info","simple","The Well","Sandvika","Norway","spa",231,"AI",6.2,"TRUE"
"INT2025_01_0002","2025-01-03 08:25:00","hotel_01","email","EN","booking","complex","The Well","Sandvika","Norway","spa",231,"Human",185.4,"TRUE"
"INT2025_01_0003","2025-01-04 09:02:00","hotel_03","facebook","NO","service_request","simple","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95,"AI",9.8,"TRUE"
"INT2025_01_0004","2025-01-04 10:45:00","hotel_07","instagram","EN","complaint","complex","Trondheim Central Hotel","Trondheim","Norway","city",140,"Human",412,"TRUE"
"INT2025_01_0005","2025-01-05 11:10:00","hotel_02","email","NO","check_in","simple","Oslo City Hotel","Oslo","Norway","city",180,"AI",7.1,"TRUE"
"INT2025_01_0015","2025-01-11 12:05:00","hotel_09","website_chat","NO","check_in","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85,"Human",360,"FALSE"
"INT2025_01_0010","2025-01-08 17:55:00","hotel_06","email","NO","technical_issue","complex","Arctic Comfort Hotel","BodÃ¸","Norway","city",110,"Human",720,"TRUE"
"INT2025_01_0011","2025-01-09 08:15:00","hotel_03","website_chat","NO","info","simple","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95,"AI",18,"TRUE"
"INT2025_01_0012","2025-01-09 09:30:00","hotel_12","email","EN","booking","complex","Geilo Alpine Resort","Geilo","Norway","resort",170,"AI",22,"TRUE"
"INT2025_01_0013","2025-01-10 10:45:00","hotel_08","facebook","NO","complaint","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130,"Human",240,"TRUE"
"INT2025_01_0014","2025-01-10 11:20:00","hotel_05","instagram","EN","service_request","simple","Bergen Harbor Hotel","Bergen","Norway","city",160,"AI",15,"TRUE"
"INT2025_01_0016","2025-01-11 13:40:00","hotel_07","email","NO","info","complex","Trondheim Central Hotel","Trondheim","Norway","city",140,"AI",12,"TRUE"
"INT2025_01_0031","2025-01-19 08:30:00","hotel_09","instagram","EN","complaint","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85,"AI",16,"TRUE"
"INT2025_01_0019","2025-01-13 16:55:00","hotel_06","email","NO","booking","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110,"AI",9,"TRUE"
"INT2025_01_0020","2025-01-13 17:30:00","hotel_11","website_chat","EN","info","simple","Ã…lesund View Hotel","Ã…lesund","Norway","city",100,"Human",300,"TRUE"
"INT2025_01_0022","2025-01-14 09:15:00","hotel_09","email","EN","complaint","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85,"AI",35,"TRUE"
"INT2025_01_0023","2025-01-15 10:30:00","hotel_03","facebook","NO","check_in","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95,"Human",420,"FALSE"
"INT2025_01_0045","2025-01-26 12:30:00","hotel_09","website_chat","EN","technical_issue","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85,"Human",290,"TRUE"
"INT2025_01_0027","2025-01-17 14:50:00","hotel_12","instagram","EN","spa_reservation","medium","Geilo Alpine Resort","Geilo","Norway","resort",170,"AI",27,"TRUE"
"INT2025_01_0028","2025-01-17 15:25:00","hotel_08","facebook","NO","technical_issue","complex","Stavanger Seaside Hotel","Stavanger","Norway","resort",130,"Human",390,"TRUE"
"INT2025_01_0029","2025-01-18 16:10:00","hotel_02","email","EN","info","simple","Oslo City Hotel","Oslo","Norway","city",180,"AI",11,"TRUE"
"INT2025_01_0030","2025-01-18 17:00:00","hotel_06","website_chat","NO","booking","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110,"Human",600,"FALSE"
"INT2025_01_0032","2025-01-19 09:45:00","hotel_10","email","NO","check_in","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150,"AI","","NULL"
"INT2025_01_0060","2025-01-06 17:00:00","hotel_09","website_chat","NO","booking","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85,"Human",480,"TRUE"
"INT2025_01_0035","2025-01-21 12:45:00","hotel_07","email","NO","spa_reservation","complex","Trondheim Central Hotel","Trondheim","Norway","city",140,"Human",280,"TRUE"
"INT2025_01_0037","2025-01-22 14:35:00","hotel_11","instagram","NO","booking","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100,"AI",55,"TRUE"
"INT2025_01_0038","2025-01-22 15:50:00","hotel_03","facebook","EN","service_request","complex","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95,"Human",330,"TRUE"
"INT2025_01_0039","2025-01-23 16:05:00","hotel_09","email","NO","info","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85,"AI",13,"TRUE"
"INT2025_01_0040","2025-01-23 17:20:00","hotel_06","website_chat","EN","check_in","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110,"Human",720,"FALSE"
"INT2025_01_0041","2025-01-24 08:10:00","hotel_02","instagram","NO","complaint","complex","Oslo City Hotel","Oslo","Norway","city",180,"AI",21,"TRUE"
"INT2025_01_0046","2025-01-26 13:45:00","hotel_07","instagram","NO","info","medium","Trondheim Central Hotel","Trondheim","Norway","city",140,"AI",10,"TRUE"
"INT2025_01_0047","2025-01-27 14:20:00","hotel_05","email","EN","booking","complex","Bergen Harbor Hotel","Bergen","Norway","city",160,"AI",48,"TRUE"
"INT2025_01_0048","2025-01-27 15:35:00","hotel_10","facebook","NO","service_request","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150,"Human",520,"FALSE"
"INT2025_01_0101","2025-01-18 08:15:00","hotel_09","facebook","N/A","service_request","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85,"AI",25,"TRUE"
"INT2025_01_0051","2025-01-29 08:05:00","hotel_06","instagram","NO","info","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110,"AI",23,"TRUE"
"INT2025_01_0053","2025-01-30 10:35:00","hotel_09","facebook","NO","technical_issue","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85,"Human",400,"TRUE"
"INT2025_01_0054","2025-01-30 11:50:00","hotel_02","email","EN","booking","simple","Oslo City Hotel","Oslo","Norway","city",180,"AI",18,"TRUE"
"INT2025_01_0057","2025-01-03 14:55:00","hotel_04","facebook","EN","check_in","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120,"AI",42,"TRUE"
"INT2025_01_0058","2025-01-04 15:30:00","hotel_07","email","NO","info","medium","Trondheim Central Hotel","Trondheim","Norway","city",140,"Human",350,"TRUE"
"INT2025_01_0061","2025-01-07 08:20:00","hotel_10","instagram","EN","spa_reservation","medium","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150,"AI",20,"TRUE"
"INT2025_01_0062","2025-01-08 09:35:00","hotel_03","email","NO","technical_issue","complex","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95,"AI",36,"TRUE"
"INT2025_01_0066","2025-01-12 13:55:00","hotel_09","instagram","EN","booking","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85,"AI",7,"TRUE"
"INT2025_01_0067","2025-01-13 14:30:00","hotel_02","email","NO","service_request","medium","Oslo City Hotel","Oslo","Norway","city",180,"AI",58,"TRUE"
"INT2025_01_0068","2025-01-14 15:45:00","hotel_08","facebook","EN","complaint","complex","Stavanger Seaside Hotel","Stavanger","Norway","resort",130,"Human",390,"TRUE"
"INT2025_01_0069","2025-01-15 16:20:00","hotel_12","website_chat","NO","info","simple","Geilo Alpine Resort","Geilo","Norway","resort",170,"AI",15,"TRUE"
"INT2025_01_0073","2025-01-19 10:45:00","hotel_07","facebook","EN","check_in","medium","Trondheim Central Hotel","Trondheim","Norway","city",140,"Human",410,"TRUE"
"INT2025_01_0075","2025-01-21 12:35:00","hotel_10","instagram","EN","info","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150,"Human",320,"TRUE"
"INT2025_01_0079","2025-01-25 16:55:00","hotel_11","website_chat","NO","technical_issue","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100,"AI",17,"TRUE"
"INT2025_01_0080","2025-01-26 17:30:00","hotel_09","instagram","EN","booking","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85,"Human",360,"TRUE"
"INT2025_01_0081","2025-01-27 08:05:00","hotel_02","email","NO","info","simple","Oslo City Hotel","Oslo","Norway","city",180,"AI",22,"TRUE"
"INT2025_01_0082","2025-01-28 09:20:00","hotel_08","facebook","EN","check_in","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130,"AI",33,"TRUE"
"INT2025_01_0085","2025-01-31 12:25:00","hotel_07","instagram","EN","complaint","medium","Trondheim Central Hotel","Trondheim","Norway","city",140,"Human",600,"FALSE"
"INT2025_01_0086","2025-01-03 13:40:00","hotel_05","email","NO","booking","complex","Bergen Harbor Hotel","Bergen","Norway","city",160,"AI",8,"TRUE"
"INT2025_01_0024","2025-01-15 11:45:00","hotel_unknown","website_chat","EN","info","simple","","","","","","AI",14,"TRUE"
"INT2025_01_0034","2025-01-20 11:30:00","hotel_unknown","website_chat","EN","info","simple","","","","","","AI",19,"TRUE"
"INT2025_01_0050","2025-01-28 17:25:00","hotel_unknown","email","EN","complaint","complex","","","","","","Human",360,"TRUE"
"INT2025_01_0071","2025-01-17 08:15:00","hotel_unknown","email","EN","technical_issue","complex","","","","","","AI",19,"TRUE"
"INT2025_01_0077","2025-01-23 14:25:00","hotel_unknown","facebook","NO","complaint","complex","","","","","","AI",49,"TRUE"
"INT2025_01_0008","2025-01-06 15:40:00","hotel_05","website_chat","EN","info","simple","Bergen Harbor Hotel","Bergen","Norway","city",160,"Human",58.2,"TRUE"
