"interaction_id","timestamp","hotel_id","channel","language","request_type","complexity","hotel_name","city","country","hotel_type","rooms"
"INT2025_01_0001","2025-01-03 08:12:00","hotel_01","website_chat","NO","info","simple","The Well","Sandvika","Norway","spa",231
"INT2025_01_0002","2025-01-03 08:25:00","hotel_01","email","EN","booking","complex","The Well","Sandvika","Norway","spa",231
"INT2025_01_0003","2025-01-04 09:02:00","hotel_03","facebook","NO","service_request","simple","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0004","2025-01-04 10:45:00","hotel_07","instagram","EN","complaint","complex","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0005","2025-01-05 11:10:00","hotel_02","email","NO","check_in","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0015","2025-01-11 12:05:00","hotel_09","website_chat","NO","check_in","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0010","2025-01-08 17:55:00","hotel_06","email","NO","technical_issue","complex","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0011","2025-01-09 08:15:00","hotel_03","website_chat","NO","info","simple","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0012","2025-01-09 09:30:00","hotel_12","email","EN","booking","complex","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_01_0013","2025-01-10 10:45:00","hotel_08","facebook","NO","complaint","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_01_0014","2025-01-10 11:20:00","hotel_05","instagram","EN","service_request","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0016","2025-01-11 13:40:00","hotel_07","email","NO","info","complex","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0031","2025-01-19 08:30:00","hotel_09","instagram","EN","complaint","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0019","2025-01-13 16:55:00","hotel_06","email","NO","booking","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0020","2025-01-13 17:30:00","hotel_11","website_chat","EN","info","simple","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0022","2025-01-14 09:15:00","hotel_09","email","EN","complaint","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0023","2025-01-15 10:30:00","hotel_03","facebook","NO","check_in","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0045","2025-01-26 12:30:00","hotel_09","website_chat","EN","technical_issue","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0027","2025-01-17 14:50:00","hotel_12","instagram","EN","spa_reservation","medium","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_01_0028","2025-01-17 15:25:00","hotel_08","facebook","NO","technical_issue","complex","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_01_0029","2025-01-18 16:10:00","hotel_02","email","EN","info","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0030","2025-01-18 17:00:00","hotel_06","website_chat","NO","booking","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0032","2025-01-19 09:45:00","hotel_10","email","NO","check_in","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0060","2025-01-06 17:00:00","hotel_09","website_chat","NO","booking","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0035","2025-01-21 12:45:00","hotel_07","email","NO","spa_reservation","complex","Trondheim Central Hotel","Trondheim","Norway","city",140
